russisch	deutsch
Добрый вечер	Guten Abend
Алла	Alla
привет	Hallo
друг	Freund
Пока	Tschüß
хорошо	Gut
нет	Nein
номер 	Nummer
Я Алла	Ich bin Alla
Кто ты?	Wer bist du?
Кто вы?	Wer sind Sie?
Это Алла	Das ist Alla
Ясно	klar
страница	Seite
Комета	Komet
Отлично	Großartig, Prima, Super
но	aber
Я Петер	Ich bin Peter
сыр	Käse
вы	Sie (Höflichkeitsform)
минуточка	moment
ещё раз	noch einmal
а	und (Vergleich, Widerspruch)
Щи	Russische Krautsuppe Shchi
Вундеркинд	Wunderkind
Шлагбаум	Schranke
Рюкзак	Rucksack
Ландшафт 	Landschaft 
Бутерброд	Butterbrot
